,sentence,class
40,covers only the first tergite of the abdominal region. Connected at the base of the,en
41,"head, the pronotum lifts slightly off the body, hence the ""shield-back"". The abdomen has ten",en
42," was captured but never fully described. In the 1960s, Dave Rentz found an example",en
43,"of the species in a specimen drawer,  however it was not identified or detailed.",en
44,Rentz noted the unique morphology of its genitalia and the size of the specimen. In,en
45,"his research, he traveled to the Antioch Sand Dunes in California, where the specimen was",en
46,"originally collected, but he found no other living specimens. It took several years of researching",en
47," . The Antioch Sand Dunes, the original environment of the Antioch Dunes shield-back katydid,",en
48,once bordered the Mojave Desert. It is said that in prehistorical times climate alterations separated,en
49,"the dunes from the Mojave, thus isolating species living on the dunes. For this reason,",en
50,these species' survival was contingent on the uninterrupted ecology of the dunes. As the development,en
51," The Antioch Dunes shield-back katydid was found in Antioch, California. It is described in",en
52,"the Antioch Sand Dunes, which formerly occupied a considerable acreage along the Sacramento-San Joaquin Rivers,",en
53,"but which are now restricted to a small, highly disturbed area under the threat of",en
54, The extinction of the Antioch Dunes shield-back katydid was due to the industrialization of,en
55," were driven to the Antioch Dunes where they resided until their extinction, recorded to",en
56,have been around 1996. There were approximately eight different species of insects that were endemic,en
57,"to the Antioch Dunes, three of which are now extinct. The other five are on",en
58,"  Eaton, Joe. ""To Protect Invertebrates!"" The Xerces Society » Column: Wild Neighbors: Antioch Dunes.",en
59," (born December 29, 1947 in Omaha, Nebraska) is an American former ski jumper who",en
60," In her career, Pretnar won six races in Alpine Skiing World Cup races, with",en
61,"13 podiums altogether. In the 1999–2000 season, she won a small crystal globe in slalom.",en
62,Pretnar was named Slovenian sportswoman of the year in 2000. Pretnar represented Slovenia at the,en
63, Pretnar was a sports reporter at a Slovenian commercial TV station POP TV. She,en
64," ) is the international governing body for predominantly LGBT+ aquatics clubs, representing the sports",en
65,"of swimming, diving, artistic swimming, water polo, and open water swimming. Member clubs are from",en
66,"16 countries, with the majority of clubs in the United States and Canada. Past presidents",en
67,of the association have included Scott Kohanowski (of Team New York Aquatics) and Gareth Johnson,en
68, IGLA is one of the key organisations involved in the licensing of the Gay,en
69,"Games, which are held every four years. In years in which the Gay Games are",en
70,"not held, IGLA holds an international competition open to its member clubs. The organization is",en
71, The IGLA name was chosen in 1987 to keep the community spirit of competition,en
72,going from the recently held Gay Olympics that was started in San Francisco by Tom,en
73,Waddell. The Gay Olympics was later forced to change its name to Gay Games but,en
74,the event itself was successful in allowing LGBT athletes from around the world to compete,en
75,"in Olympic, exhibition and art events. To carry on the international aspect for the LGBT",en
76,aquatics community the International Gay and Lesbian Aquatics was named to hold a yearly international,en
77,"    1994: Held in conjunction with Gay Games IV, New York, New",en
78,"  2023: IGLA XXXV, London, United Kingdom - Scheduled for the 25th - 30th",en
79," , is a state-chartered agency of the California Department of Food and Agriculture. ",en
80,"Established by the California State Legislature in 1993, the commission replaced the California Strawberry Advisory",en
81,"Board.  The commission represents nearly 600 strawberry shippers, processors and growers within the state",en
82,The commission is not funded by tax payers but by self-taxation or assessments on California,en
83,strawberry growers.  The amount assessed is approved annually by the commission board of directors.,en
84," The current president is Rick Tomlinson. He replaces Mark Murai, a third generation strawberry",en
85," Activities and projects are developed, approved and implemented under the authority of the commission’s",en
86," The CSC's predecessor organization, the Board, popularized the use of soil fumigation starting in",en
87, The California Strawberry Commission’s stated vision is to be “the unified voice for a,en
88,healthy California strawberry industry.”  Their mission is “to shape a favorable environment that allows,en
89," is a park in  Charlottesville, Virginia. It was the location of Balloon 3",en
90, Benjamin Tonsler was one of Charlottesville's most prominent African American citizens.  Very little,en
91,"is known of his early life.  He was born April 2, 1854, in Albemarle",en
92,County.  In later years his descendants came to believe that a member of a,en
93,"family for whom he worked taught him to read and write, which was illegal at",en
94," Whatever the circumstance of his early life, Mr. Tonsler went on to become a",en
95,"noted teacher, principal and citizen.  He was educated at Hampton University and returned to",en
96,"Charlottesville to teach at the Jefferson Graded School, which at that time was the only",en
97,school available to African Americans.  He taught for several years and then assumed the,en
98,"position of principal, which he held for almost thirty years.  His students remembered him",en
99,as a stern disciplinarian who took huge risks to further their education.  Under the,en
100,segregated laws of the time it was illegal to educate African American students past eighth,en
101,grade.  Mr. Tonsler had his older students stay after school to study more advanced,en
102,texts with the understanding that the books were to be hidden whenever the white Superintendent,en
103,appeared for an inspection.  In this secretive manner many students were able to complete,en
104, Mr. Tonsler was a close friend of Booker T. Washington whom he met while,en
105,"in college, and Mr. Washington stayed at his home on his way to Tuskegee to",en
106,assume the presidency of the Tuskegee Institute (now Tuskegee University).  Mr. Tonsler's home was,en
107,"located not far from the park which now bears his name: Tonsler Park, which the",en
108," Benjamin Tonsler died on March 6, 1917, at age 63 after a short illness.",en
109, is the second album of Tryo. This album is less reggae because of some,en
110," ; born April 17, 1974) is an American retired soccer defender who previously played",en
111,for the United States women's national soccer team and the Bay Area CyberRays in the,en
112," Bryan grew up in Joppatowne, Maryland and played soccer for the Columbia Crusaders for",en
113," In 1992, her first season with North Carolina State University, she started all 22 games",en
114,and was named the ACC Rookie of the Year in 1992. During her time at,en
115, Bryan was nominated for the Missouri Athletic Club National Player of the Year award,en
116,"in 1994 and 1995. During her senior year, she started all 22 regular season games",en
117," Staples-Bryan played for the San Jose CyberRays in the Women's United Soccer Association, the",en
118,"first professional soccer league in the United States, from 2001 to 2003 and was a",en
119,key member of the 2001 Founders Cup Championship team. She was a first round pick,en
120," In 2008, after a more than four-year hiatus after the folding of the WUSA,",en
121, Bryan made her first appearance for the United States women's national soccer team on,en
122,"March 11, 1993 in a game against Denmark. She would go on to earn 64",en
123," In 1994, she helped the team win the title at the CONCACAF Qualifying Championship",en
124,in Montreal and qualify for the 1995 FIFA Women's World Championship and FIFA Women's World,en
125, Bryan was a member of the 1995 Women's National Team that placed third at,en
126," In 2003, she was named by national team head coach, April Heinrichs, as one",en
127, Bryan was an assistant coach at Virginia Tech. She runs the Thori Bryan Soccer,en
128," ) is a rural locality (a village) in Korobitsynskoye Rural Settlement, Syamzhensky District, Vologda",en
129, Sidorovo is located 50 km southeast of Syamzha (the district's administrative centre) by road.,en
130," is an American political scientist and scholar of American federalism, intergovernmental relations, and state",en
131,and local government. He is the Robert B. &amp; Helen S. Meyner Professor of Government,en
132,and Public Service and Director of the Meyner Center for the Study of State and,en
133,"Local Government at Lafayette College in Easton, Pennsylvania. He also is President of CSF Associates:",en
134,"Publius, the sponsor of the Center for the Study of Federalism. He previously taught at",en
135,"North Texas State University, Arizona State University, St. Peter’s College/University, and Seton Hall University. He",en
136,served as executive director of the U.S. Advisory Commission on Intergovernmental Relations and as vice,en
137," Born (1946) and raised in Philadelphia, Pennsylvania, Kincaid graduated from Central High School (221",en
138,"class) in 1964, received a BA from Temple University in 1967, an MA from the",en
139,"University of Wisconsin–Milwaukee, in 1968, and a Ph.D. from Temple University in 1981 where he",en
140," He attended Union Theological Seminary, New York City (1968–69) and also taught part-time at",en
141,"Seton Hall University, South Orange, New Jersey, before becoming instructor and inner-city liaison at St.",en
142,"Peter’s College/University, Jersey City, New Jersey (1969–70). He was director of the Phoenix Peace Center",en
143,"and coordinator for Professional and Business Men and Women for Peace, Phoenix, Arizona (1970–72), during",en
144,which time he hosted Jane Fonda and Tom Hayden at Arizona State University where he,en
145,was a faculty associate in sociology. He then served as vice-president and co-treasurer of the,en
146,"Pentagon Papers Fund for the Defense of Human and Civil Liberties, Los Angeles, California (1972–73),",en
147,in which capacity he also managed the legal-defense office of Daniel Ellsberg and Anthony Russo.,en
148, Kincaid was assistant and associate professor of political science at North Texas State University,en
149,(now University of North Texas) (1979–86). He left the university to serve as research director,en
150,"(1986–87) and then executive director (1987–94) of the U.S. Advisory Commission on Intergovernmental Relations, Washington,",en
151,"D.C. In 1994, he took the positions of Robert B. &amp; Helen S. Meyner Professor",en
152,of Government and Public Service and Director of the Meyner Center for the Study of,en
153, He also has served as co-editor of the Routledge Book Series on Federalism and,en
154,"Decentralization (2014–present); editor of a book series, “Politics and Governments of the American States,” University",en
155," , a joint program of the Forum of Federations and International Association of Centers",en
156," Kincaid is married to Lucille DeMasi Kincaid, a pianist, retired high-school music teacher, a",en
157,"host of WDIY Classics (Lehigh Valley Public Radio), WDIY Music Librarian, and music director of",en
158, John Kincaid has testified before the U.S. Congress on the “Lobbying with Appropriated Funds,en
159,"Reform Act of 2000,” “Tenth Amendment Enforcement Act of 1996,” and “Restore the Partnership Act,”",en
160,"  Distinguished Scholar Award, 2016, RC28: Comparative Federalism and Multilevel Governance, International Political Science",en
161,"  Daniel J. Elazar Distinguished Scholar Award, 2001, Section on Federalism and Intergovernmental Relations,",en
162,"  Best Paper Award, Annual Meeting of the Urban Affairs Association, Fort Worth, TX,",en
163,"  Donald Stone Distinguished Scholar Award, Section on Intergovernmental Administration and Management, American Society",en
164,"  Outstanding Paper Award, Annual Meeting of the Southwestern Political Science Association, Houston, TX,",en
165,"  In 2015, the Section on Federalism and Intergovernmental Relations of the American Political",en
166,Science Association established The John Kincaid Award for Best Article Published in Publius: The Journal,en
167,  “Constitutional Values and Citizen Attitudes to Government: Explaining Federal System Viability and Reform,en
168,  “Territorial Neutrality and Cultural Pluralism in American Federalism: Is the United States the,en
169,  “Citizen Evaluations of Federalism and the Importance of Trust in the Federation Government,en
170,"  “Personality and Public Opinion: The Case of Authoritarianism, Prejudice, and Support for the",en
171," ) in Buranovsky Selsoviet of Malopurginsky District of the Udmurt Republic, Russia located 30",en
172,"kilometers (19 mi) from the city of Izhevsk, 34 kilometers (21 mi) from the city of Sarapul,",en
173,"and 30 kilometers (19 mi) from Malaya Purga, the administrative center of the district. As of",en
174,"January 1, 2011, the population was estimated to be 658 residents, of whom 123 are employed in education.Municipally,",en
175," Buranovskiye Babushki, a folk group who represented Russia in Eurovision Song Contest 2012, are",en
176,    Государственный Совет Удмуртской Республики. Закон №47-РЗ от 14 июля 2005 г «Об установлении границ муниципальных,en
177,"образований и наделении соответствующим статусом муниципальных образований на территории Малопургинского района Удмуртской Республики», в ред.",en
178,Закона №18-РЗ от 16 мая 2006 г «О внесении изменений в отдельные Законы Удмуртской Республики об установлении,en
179,границ муниципальных образований и наделении соответствующим статусом муниципальных образований на территории Удмуртской Республики». Вступил в,en
180,   On Establishing the Borders of the Municipal Formations and Granting the Status,en
181,   On Amending Various Laws of the Udmurt Republic on Establishing the Borders,en
182,of the Municipal Formations and Granting the Status to the Municipal Formations on the Territory,en
183, is an arcade game manufactured by Bally Midway in 1984.  The goal is,en
184,"to amass points by chopping down trees, then logrolling in bonus rounds. Two players can",en
185, The player assumes the role of a lumberjack in the game and must chop,en
186,down a given number of trees that sequentially pop up from the ground in a,en
187,"limited amount of time to complete each level. The game is controlled using two joysticks,",en
188,with one controlling the player's movement and the other corresponding to left or right chops,en
189,"with the player's axe. As the game progresses, the quota gradually increases and the time",en
190,"decreases. While playing, the player must avoid beehives that are thrown by bears or lose",en
191,"a life. The player can earn bonus points by hitting a beehive with the axe,",en
192," Every couple of levels, the player is given the opportunity to amass bonus points.",en
193, These stages begin with the player standing on a floating log.  As the,en
194,"log begins to rotate, players must make use of their reflexes to stay on top",en
195,"of the log.  The first two times this is played, the log is relatively",en
196,"large; on future attempts, the size of the log shrinks considerably.  This minigame ends",en
197,if the player falls off the log or balances atop it for a certain amount,en
198," The game also features two-player simultaneous multiplayer, and can be played competitively or cooperatively.",en
199,"In this mode, either player can earn bonus points by pushing a tree onto the",en
200,"other; in addition, a bonus is awarded to the player who cuts down more trees",en
201," , a compilation disc of Midway Games titles for the Xbox, PlayStation 2, and",en
202," (2016), accessed by using the Arcade Dock in the level ""Once Upon A Time",en
203, The current world record holder for highest score is Joshua Lombay with a score,en
204,"of 9,767,550. He beat previous record holder Don Duwelius who had recorded a high score",en
205, (13 March 1880 – 27 May 1953) was head of the Office of the,en
206,President of Germany from 1920 to 1945 during nearly the entire period of the Weimar,en
207,"Republic under Friedrich Ebert and Paul von Hindenburg and, finally, under the Nazi government under",en
208," The son of a postal official, Meissner studied law in Straßburg from 1898 to",en
209,"1903, where he also became a member of the Straßburg Student Youth Fraternity (Burschenschaft) Germania.",en
210,"Later, he also studied in Berlin and earned his Doctor of Laws in 1908, at",en
211,"the age of 28, in Erlangen, Bavaria. Afterward, he became a bureaucrat for the national",en
212,"railroad, the Reichsbahn, in Straßburg. Between 1915 and 1917, he participated in the First World",en
213,War in the 136th infantry regiment. Until 1919 he was more active behind the front,en
214,"as a military railroad official, first in Bucharest, then in Kyiv. He was then accepted",en
215,into the diplomatic service and from 1918 acted as a German chargé d'affaires to the,en
216," Thanks to his good contacts, in 1919, Meissner became Acting Advisor in the ""Bureau",en
217," "", who was then the Social Democrat Friedrich Ebert, and by 1 April 1920,",en
218,Meissner had risen to Ministerial Director and Leader of the Bureau. Ebert raised Meissner to,en
219, Meissner continued in the post of State Secretary when Paul von Hindenburg was elected,en
220,"as Ebert's successor in 1925. Meissner, who lived with his family in the palace of",en
221,"the German president between 1929 and 1939, undoubtedly enjoyed major influence upon the presidents, especially",en
222,"Hindenburg. Together with Kurt von Schleicher and a few others, Meissner, in 1929 and 1930,",en
223, His role in the appointment of Hitler to chancellor from December 1932 to January,en
224,"1933 remains a controversy among historians. As a member of the ""camarilla"", Meissner was certainly",en
225,no small influence as State Secretary because of his close relations with Hindenburg. Together with,en
226,"Oskar von Hindenburg and Franz von Papen, Meissner organized the negotiations with Hitler to depose",en
227,"von Schleicher and to appoint Hitler to the post of Chancellor. For the Nazis' part,",en
228,"the talks were facilitated through Wilhelm Keppler, Joachim von Ribbentrop and the banker Kurt Freiherr",en
229,"von Schröder, a former officer and head of the old-guard conservative ""Herrenklub"" (Gentlemen's club) in",en
230,"Berlin in which von Papen was also active. Neither Hitler nor Hindenburg, as of the",en
231,"end of 1932, would have initiated contact with each other, so great was their mutual",en
232, When Hitler merged the functions of head of state (the president) and head of,en
233,"government (the chancellor) in August 1934, Meissner's office was renamed the ""Presidential Chancellery"" and restricted",en
234,"in its responsibilities to representative and formal matters of protocol, while all more political matters",en
235,were assigned to the Reich Chancellery under the direction of Hans Lammers. Meissner was also,en
236,made a member of the Academy for German Law. To mark the fourth anniversary of,en
237,"the Nazi regime on 30 January 1937, Hitler personally conferred the Golden Party Badge upon",en
238,"several non-Nazi members of the Reich government, including Meissner (membership number 3,805,235). On 1 December",en
239," , but without the title. Politically, his influence in the Hitler regime was distinctly",en
240," After the Second World War, Meissner was arrested by the Allies and interrogated as",en
241,"a witness during the Nuremberg Trials. In July 1947, he appeared as a character witness",en
242,for the accused former State Secretary Franz Schlegelberger. Meissner was finally prosecuted in the Wilhelmstrasse,en
243,"Trial, but the court acquitted him on 14 April. Two years later, in May 1949,",en
244,"he was accused again, this time in Munich, and was adjudged a fellow traveler. His",en
245,   Grundriß der Verfassung und Verwaltung des Reichs und Preußens nebst Verzeichnis der,en
246,"   Staatssekretär unter Ebert, Hindenburg, Hitler. Der Schicksalsweg des deutschen Volkes von 1918",en
247,   Die Auflösung der Weimarer Republik. Eine Studie zum Problem des Machtverfalls in,en
248,  Ernst Klee: Das Personenlexikon zum Dritten Reich. Wer war was vor und nach,en
249,  Newspaper clippings about Otto Meissner in the 20th Century Press Archives of the,en
250," is a town in Richland County, Wisconsin, United States. The population was 618 at",en
251,"the 2000 census. The unincorporated communities of Byrds Creek, Excelsior, Port Andrew, Sand Prairie, Tavera,",en
252," According to the United States Census Bureau, the town has a total area of",en
253," As of the census of 2000, there were 618 people, 238 households, and 178",en
254, ). There were 299 housing units at an average density of 7.2 per square,en
255," ). The racial makeup of the town was 98.54% White, 0.32% African American, 0.16%",en
256,"Native American, 0.65% from other races, and 0.32% from two or more races. Hispanic or",en
257," There were 238 households, out of which 34.0% had children under the age of",en
258,"18 living with them, 60.9% were married couples living together, 8.4% had a female householder",en
259,"with no husband present, and 24.8% were non-families. 21.4% of all households were made up",en
260,"of individuals, and 9.2% had someone living alone who was 65 years of age or",en
261," In the town, the population was spread out, with 26.4% under the age of",en
262,"18, 6.1% from 18 to 24, 26.7% from 25 to 44, 26.1% from 45 to",en
263,"64, and 14.7% who were 65 years of age or older. The median age was",en
264,"40 years. For every 100 females, there were 113.8 males. For every 100 females age",en
265," The median income for a household in the town was $35,156, and the median",en
266,"income for a family was $38,750. Males had a median income of $28,583 versus $22,125",en
267,"for females. The per capita income for the town was $17,304. About 6.4% of families",en
268,"and 8.2% of the population were below the poverty line, including 10.6% of those under",en
269, is a play by  Neil Simon. The play won the 1991 Pulitzer Prize,en
270," The play premiered at The Center for the Performing Arts in Winston-Salem, North Carolina,",en
271,"on December 31, 1990, then moved to Broadway at the Richard Rodgers Theatre on February",en
272,"21, 1991, where it ran for  780 performances and 11 previews. Produced by Emanuel",en
273,"Azenberg and directed by Gene Saks, the cast included Jamie Marsh as Jay, Irene Worth",en
274,"as Grandma, Mercedes Ruehl as Bella, Kevin Spacey as Louie, Lauren Klein as Gert, Danny",en
275," In Brooklyn in 1942, Evelyn Kurnitz has just died following a lengthy illness. Her",en
276,"husband, Eddie Kurnitz, needs to take a job as a traveling salesman to pay the",en
277,"medical bills incurred, so he decides to ask his stern and straight-talking mother (from whom",en
278,"he is slightly estranged) if his two early-teen sons, Jay and Arty (whom she insists",en
279,"on calling by their full given names, Jacob and Arthur, which she pronounces ""Yakob"" and",en
280,"""Artur""), can live with her and their Aunt Bella Kurnitz in Yonkers. She refuses. After",en
281,"a threat by Bella, she lets them stay without ever saying they could stay. Despite",en
282,"their grandmother owning and operating a candy store, Jay and Arty do not like their",en
283,new living situation.  They are afraid of their grandmother and find it difficult to,en
284,"relate to their crazy Aunt Bella, whose slow mental state is manifested by perpetual excitability",en
285," Into their collective lives returns one of Eddie and Bella's other siblings, Louie Kurnitz,",en
286,"a henchman for some gangsters. He is hiding out from Hollywood Harry, who wants what",en
287,Louie stole and is hiding in his small black bag. Jay and Arty's mission becomes,en
288,how to make money fast so that they can help their father and move back,en
289,"in together, which may entail stealing the $15,000 their grandmother has hidden somewhere. Bella's mission",en
290,"is to find a way to tell the family that she wants to marry Johnny,",en
291,"her equally slow movie theater usher boyfriend; the two could also use $5,000 of Grandma's",en
292,hidden money to open their dream restaurant. And Louie's mission is to survive the next,en
293," : He is fifteen ""and a half"" years old. He insists on the ""and",en
294,"a half"". The death of his  mother forces him to be more mature than",en
295,he is ready to be when his father leaves him and his younger brother with,en
296,his family so he can sell scrap iron during World War Two. The play tells,en
297," : Jay's younger brother, he is 13 ""and a half"" years old. More of",en
298,"an observer than the rest of his family, he often goes with the flow of",en
299," : Jay's aunt, late 30's to early 40's. She is sometimes a bit off-center",en
300,"and is mentally challenged, but despite this she is also loving and protective of her",en
301,nephews. Much of the second half of the play focuses on her attempts at independence,en
302," : Jay's flamboyant, jovial uncle, in his late 30s, who comes to live with",en
303,the family when he is hiding from the local mob. He is considered by Grandma,en
304,"Kurnitz to be the ""survivor"" of the family. He has a strong, mercurial nature, and",en
305,"a certain underlying dark side, which the kids uncover in the second act of the",en
306," : Jay's grandmother. A very old and stern woman, an immigrant from Germany. Owing",en
307,"to her harsh childhood, she has always been very intolerant of what in others she",en
308,"calls ""weaknesses"". She is blunt, sometimes even in a funny way, and always knows what",en
309," : Jay's middle-aged father. After the death of his wife, he is forced to",en
310,"send his two sons to live with their grandmother, while he repays his large financial",en
311," : Jay's aunt, and Grandma's daughter. She is a very interesting addition to the",en
312,family. Her most noticeable issue is that when she breathes she has a tendency to,en
313,"suck in while still speaking, as a result of trauma instilled in her by Mother,",en
314," Simon adapted his play for a 1993 feature film directed by Martha Coolidge, and",en
315,"starring Brad Stoll as Jay. Worth and Ruehl reprised their stage roles, and Richard Dreyfuss",en
316,"was cast as Louie. Bella's beau Johnny, an unseen character in the play, was portrayed",en
317," (meaning ""king"") was a ruling title used in Iranian mythology by the Kayanians of",en
318,"the Avesta, later to be adopted by the Kushano-Sasanians, followed by the Sasanian monarchs of",en
319," (August 10, 1866 – March 9, 1963) was an American botanist and the curator",en
320,of botany at the San Diego Natural History Museum from 1943 to 1957; she continued,en
321," (1931), and other popular works on plants of the southwestern United States and northern",en
322," Born Ethel Phoebe Bailey on May 10, 1866, in Vassalboro, Maine, to Mary E.",en
323,"Pearson and George L. Bailey, Higgins was educated at the Wesleyan Seminary and Female College",en
324,"(now Kents Hill School) in Readfield, Maine. In 1900, she moved to Los Angeles, California",en
325,"with her parents and worked as a photographer, first in the studio of Frank G.",en
326,"Shumacher, then setting up in her own studio, specializing in botanical subjects. In 1914, she",en
327," During her career as a photographer, Higgins produced a series of 300 plant portraits,",en
328,taking up the study of botany to properly identify her subjects.  Higgins exhibited hand-tinted,en
329,"photographs of wild flowers during the 1915 Panama-California Exposition in Balboa Park. In 1931, Higgins",en
330," ; she joined the staff of the San Diego Natural History Museum in 1933,",en
331,becoming curator of botany in 1943 upon the retirement of Frank Gander. Higgins compiled the,en
332,"first checklists of San Diego County plants, publishing “Annotated Distributional List of the Ferns and",en
333,"Flowering Plants of San Diego County, California,” in 1949 and “Type Localities of Vascular Plants",en
334,"in San Diego County, California” in 1959. Higgins's surveys have been updated, first in 1986",en
335," During the 1950s and early 1960s, Higgins participated in several of the museum's research",en
336,"expeditions, collecting plant specimens in Baja California and on islands in the Gulf of California.",en
337," As associate curator (working with her successor as curator of botany, Reid Moran), she",en
338,helped build the herbarium's specimen collection. She wrote a series of interpretative guides to southern,en
339,    Annotated distributional list of the ferns and flowering plants of San,en
340,"Diego County, California (Occasional papers of the San Diego Society of Natural History series no.",en
341,    Plants of the foothills and mountains of San Diego county (Trails,en
342,"   Beyette, Beverly (July 20, 1961). ""She's 95-And Dated Up For Her 100th",en
343,  The San Diego Natural History Museum Research Library houses a significant collection of,en
344,"  Ethel Bailey Higgins Papers ca. 1940–1960 (Collection 913). Finding Aid, Online Archive of",en
345," is a school district that serves Amelia County, Virginia in primary and secondary education.",en
346,The district is headquartered in Amelia Courthouse. The district is led by superintendent is Dr.,en
347, The all-black Russell Grove High School merged with Amelia County High School in the,en
348," As of the 2016–2017 school year, the appraised valuation of property in the district",en
349, ACPS Operates 36 different bus routes with a few routes that span into different,en
350, Amelia County High School competes in Class 2A of the James River District in,en
351," , is a public transportation company which operates local and long-distance buses in Mie",en
352,"prefecture, Japan. The company has other ventures, including a taxicab business and real estate. Mie",en
353,"Kotsu used to also own railway lines, but no longer operates in the rail transport",en
354,"sector – Mie Kotsu's former rail assets are now owned by Kintetsu Railway, its parent",en
355, ; 27 April 1848 – 11 October 1916) was King of Bavaria from 1886,en
356,"until 1913. However, he never actively ruled because of alleged severe mental illness. His uncle,",en
357,"Luitpold, and his cousin, Ludwig, served as regents.  Ludwig deposed him in 1913, a",en
358,"day after the legislature passed a law allowing him to do so, and became king",en
359," Otto was the son of Maximilian II and his wife, Marie of Prussia, and",en
360," Prince Otto was born on 27 April 1848, two months premature, in the Munich",en
361,"Residenz. His parents were King Maximilian II of Bavaria and Marie of Prussia. His uncle,",en
362," Otto had an older brother, Crown Prince Ludwig. They spent most of their childhood",en
363,"with servants and teachers at Hohenschwangau Castle. Their parents were distant and formal, and they",en
364,were at such a loss about what to say to Otto and Ludwig that they,en
365,often ignored and even avoided them. Their mother took an interest in what the brothers,en
366,wore: she ordered for Ludwig to always be dressed in blue and for Otto to,en
367,"always wear red. Their father was strict with the brothers, particularly Ludwig, the heir apparent.",en
368, Otto served in the Bavarian army from 1863. He was appointed sub-lieutenant on 27,en
369,April 1863 and admitted to the Cadet Corps on 1 March 1864. On 26 May,en
370," On 10 March 1864, King Maximilian died and Otto's brother, Ludwig, succeeded as King",en
371,"of Bavaria. Between 18 June and 15 July 1864, the two brothers received state visits",en
372, Otto was promoted to Captain on 27 April 1866 and entered active military service,en
373,in the Royal Bavarian Infantry Guards. He participated in the Austro-Prussian War of 1866 and,en
374,as colonel in the Franco-Prussian War of 1870–1871. His experiences on the battlefield traumatized him,en
375,and caused him to have depression and insomnia. When Wilhelm I was proclaimed German Emperor,en
376,"on 18 January 1871 at the Palace of Versailles, Prince Otto and his uncle, Luitpold,",en
377,"represented King Ludwig II, who refused to participate (despite having offered Wilhelm the Imperial title",en
378,in a letter). Otto then criticized the celebration as ostentatious and heartless in a letter,en
379,to his brother. Otto despised his ambitious Prussian relatives and cordially disliked his Prussian mother,en
380,and so they were appalled by the creation of the new German Empire. His hostility,en
381," Otto and Ludwig were often seen together during the early years of Ludwig's reign,",en
382,but they became estranged over time. Ludwig was shy and introverted and eventually became a,en
383,"recluse. Otto was cheerful, outgoing and extroverted until the Franco-Prussian War. In 1868, Otto received",en
384,"the Royal Order of Saint George for the Defense of the Immaculate Conception, the house",en
385,"order of the House of Wittelsbach. In 1869, he joined the Order of the Holy",en
386," After the Franco-Prussian War, Otto became very depressed and anxious, which worried his family.",en
387,"Otto had spells during which he slept poorly for days and acted out, followed by",en
388,periods of time during which he was perfectly normal and lucid. His illness progressively grew,en
389,worse. Ludwig was horrified because he had been counting on Otto to marry and have,en
390,"a son who could eventually inherit the throne. Otto was placed under medical supervision, and",en
